loan_amnt,int_rate,installment,home_ownership,annual_inc,verification_status,pymnt_plan,dti,delinq_2yrs,inq_last_6mths,open_acc,pub_rec,revol_bal,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_amnt,collections_12_mths_ex_med,policy_code,application_type,acc_now_delinq,tot_coll_amt,tot_cur_bal,open_acc_6m,open_act_il,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m,acc_open_past_24mths,avg_cur_bal,bc_open_to_buy,bc_util,chargeoff_within_12_mths,delinq_amnt,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,mths_since_recent_bc,mths_since_recent_inq,num_accts_ever_120_pd,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_rev_tl_bal_gt_0,num_sats,num_tl_120dpd_2m,num_tl_30dpd,num_tl_90g_dpd_24m,num_tl_op_past_12m,pct_tl_nvr_dlq,percent_bc_gt_75,pub_rec_bankruptcies,tax_liens,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit,hardship_flag,debt_settlement_flag,target
11700.0,0.0819,367.67,MORTGAGE,66000.0,Not Verified,n,22.22,0.0,0.0,7.0,0.0,7649.0,14.0,w,5882.21,5882.21,6975.08,6975.08,5817.79,1157.29,0.0,0.0,0.0,367.67,0.0,1.0,Individual,0.0,0.0,214865.0,0.0,4.0,1.0,2.0,10.0,27288.0,49.0,0.0,0.0,7649.0,50.0,14000.0,1.0,0.0,1.0,3.0,30695.0,1351.0,85.0,0.0,0.0,197.0,150.0,66.0,10.0,1.0,66.0,10.0,0.0,1.0,1.0,1.0,2.0,9.0,2.0,4.0,1.0,7.0,0.0,0.0,0.0,1.0,100.0,100.0,0.0,0.0,254537.0,34937.0,9000.0,56037.0,N,N,low_risk
24000.0,0.0646,735.14,MORTGAGE,145000.0,Not Verified,n,13.44,0.0,0.0,13.0,0.0,37786.0,39.0,w,11240.94,11240.94,14685.57,14685.57,12759.06,1926.51,0.0,0.0,0.0,735.14,0.0,1.0,Individual,0.0,0.0,349045.0,0.0,2.0,1.0,2.0,10.0,50814.0,69.0,1.0,2.0,13550.0,38.0,117400.0,0.0,6.0,0.0,5.0,26850.0,64751.0,32.6,0.0,0.0,174.0,288.0,9.0,9.0,7.0,15.0,18.0,0.0,3.0,6.0,6.0,7.0,14.0,10.0,18.0,6.0,13.0,0.0,0.0,0.0,2.0,100.0,0.0,0.0,0.0,436396.0,88600.0,96000.0,59196.0,N,N,low_risk
40000.0,0.0819,814.7,MORTGAGE,200000.0,Not Verified,n,19.16,0.0,0.0,16.0,0.0,34371.0,28.0,w,28278.6,28278.6,16248.5,16248.5,11721.4,4527.1,0.0,0.0,0.0,814.7,0.0,1.0,Individual,0.0,0.0,508038.0,0.0,3.0,0.0,0.0,25.0,74500.0,65.0,0.0,1.0,11210.0,59.0,59700.0,0.0,1.0,2.0,4.0,33869.0,11386.0,67.6,0.0,0.0,138.0,346.0,20.0,7.0,6.0,20.0,7.0,0.0,4.0,10.0,6.0,6.0,5.0,12.0,17.0,10.0,16.0,0.0,0.0,0.0,1.0,100.0,40.0,0.0,0.0,578583.0,108871.0,35100.0,116359.0,N,N,low_risk
40000.0,0.0819,1256.97,MORTGAGE,120000.0,Not Verified,n,20.26,0.0,0.0,19.0,0.0,54532.0,58.0,w,20254.55,20254.55,23836.93,23836.93,19745.45,4091.48,0.0,0.0,0.0,1256.97,0.0,1.0,Joint App,0.0,0.0,244641.0,0.0,3.0,0.0,2.0,13.0,22438.0,76.0,1.0,4.0,5481.0,89.0,57100.0,0.0,10.0,1.0,6.0,12876.0,1460.0,94.9,0.0,0.0,232.0,178.0,12.0,12.0,2.0,12.0,12.0,0.0,9.0,14.0,9.0,15.0,22.0,15.0,34.0,14.0,19.0,0.0,0.0,0.0,1.0,100.0,88.9,0.0,0.0,284030.0,76970.0,28700.0,29531.0,N,N,low_risk
10000.0,0.20550000000000002,374.45,RENT,39000.0,Verified,n,32.89,0.0,1.0,6.0,0.0,4730.0,14.0,w,6473.35,6473.35,6354.23,6354.23,3526.65,2827.58,0.0,0.0,0.0,374.45,0.0,1.0,Joint App,0.0,0.0,23389.0,0.0,3.0,2.0,4.0,10.0,18659.0,65.0,0.0,0.0,2373.0,69.0,5000.0,3.0,0.0,1.0,4.0,4678.0,270.0,94.6,0.0,0.0,68.0,128.0,72.0,10.0,0.0,112.0,6.0,0.0,2.0,2.0,2.0,3.0,10.0,3.0,4.0,2.0,6.0,0.0,0.0,0.0,2.0,100.0,100.0,0.0,0.0,33883.0,23389.0,5000.0,28883.0,N,N,low_risk
21700.0,0.0819,441.98,MORTGAGE,200000.0,Verified,n,19.13,0.0,4.0,52.0,0.0,23624.0,85.0,w,16449.29,16449.29,7503.79,7503.79,5250.71,2253.08,0.0,0.0,0.0,441.98,0.0,1.0,Individual,0.0,0.0,469657.0,4.0,3.0,1.0,3.0,5.0,81792.0,67.0,4.0,9.0,5057.0,8.0,456200.0,2.0,0.0,5.0,13.0,9032.0,396054.0,5.3,0.0,0.0,135.0,448.0,5.0,5.0,3.0,5.0,2.0,0.0,24.0,26.0,38.0,48.0,14.0,47.0,68.0,26.0,52.0,0.0,0.0,0.0,6.0,100.0,0.0,0.0,0.0,951870.0,105416.0,418000.0,101798.0,N,N,low_risk
31900.0,0.20550000000000002,854.95,RENT,75000.0,Verified,n,24.69,1.0,2.0,25.0,0.0,1749.0,31.0,w,26239.32,26239.32,15461.31,15461.31,5660.68,9800.63,0.0,0.0,0.0,854.95,0.0,1.0,Individual,0.0,0.0,82053.0,1.0,13.0,1.0,2.0,1.0,80304.0,91.0,3.0,5.0,871.0,79.0,16100.0,2.0,1.0,3.0,7.0,3282.0,10751.0,14.0,0.0,0.0,99.0,74.0,7.0,1.0,0.0,8.0,1.0,0.0,5.0,5.0,7.0,8.0,16.0,12.0,15.0,5.0,25.0,0.0,0.0,0.0,4.0,93.5,14.3,0.0,0.0,103975.0,82053.0,12500.0,87875.0,N,N,low_risk
8000.0,0.0756,249.08,MORTGAGE,75000.0,Not Verified,n,20.77,0.0,2.0,20.0,0.0,21820.0,28.0,f,0.0,0.0,8674.79,8674.79,8000.0,674.79,0.0,0.0,0.0,4941.95,0.0,1.0,Individual,0.0,0.0,47827.0,1.0,3.0,2.0,2.0,9.0,26007.0,67.0,4.0,4.0,10346.0,26.0,148600.0,1.0,1.0,5.0,6.0,2391.0,109304.0,15.1,0.0,0.0,185.0,233.0,4.0,4.0,0.0,4.0,2.0,0.0,9.0,12.0,12.0,14.0,9.0,17.0,19.0,12.0,20.0,0.0,0.0,0.0,6.0,100.0,0.0,0.0,0.0,187691.0,47827.0,128700.0,39091.0,N,N,low_risk
5000.0,0.08810000000000001,158.56,RENT,75000.0,Not Verified,n,36.56,0.0,0.0,13.0,0.0,4662.0,27.0,w,2664.29,2664.29,2851.63,2851.63,2335.71,515.92,0.0,0.0,0.0,158.56,0.0,1.0,Individual,0.0,0.0,122390.0,3.0,4.0,3.0,4.0,3.0,117728.0,92.0,2.0,2.0,3177.0,61.0,41700.0,2.0,1.0,6.0,6.0,10199.0,33739.0,11.9,0.0,0.0,202.0,154.0,3.0,3.0,3.0,10.0,3.0,4.0,4.0,5.0,7.0,7.0,12.0,9.0,12.0,5.0,13.0,0.0,0.0,0.0,5.0,85.2,0.0,0.0,0.0,166751.0,122390.0,38300.0,125051.0,N,N,low_risk
15000.0,0.17739999999999997,378.79,MORTGAGE,18000.0,Not Verified,n,145.0,0.0,1.0,12.0,0.0,45609.0,48.0,w,0.0,0.0,15573.330000001,15573.33,15000.0,573.33,0.0,0.0,0.0,0.0,0.0,1.0,Joint App,0.0,0.0,380207.0,1.0,4.0,1.0,2.0,12.0,125963.0,49.0,4.0,7.0,17965.0,61.0,69700.0,0.0,0.0,3.0,9.0,31684.0,20317.0,69.1,0.0,0.0,126.0,274.0,5.0,5.0,2.0,5.0,0.0,0.0,5.0,6.0,6.0,27.0,8.0,7.0,38.0,6.0,12.0,0.0,0.0,0.0,5.0,100.0,50.0,0.0,0.0,470472.0,171572.0,65700.0,155772.0,N,N,low_risk
5000.0,0.08810000000000001,158.56,RENT,33000.0,Source Verified,n,15.2,0.0,1.0,13.0,0.0,3480.0,21.0,w,0.0,0.0,5454.2,5454.2,5000.0,454.2,0.0,0.0,0.0,2878.25,0.0,1.0,Individual,0.0,0.0,18628.0,1.0,1.0,0.0,2.0,18.0,15148.0,82.0,3.0,4.0,1945.0,28.0,48200.0,4.0,0.0,1.0,6.0,1433.0,40228.0,6.7,0.0,0.0,150.0,361.0,4.0,4.0,0.0,4.0,4.0,0.0,2.0,3.0,9.0,9.0,3.0,12.0,18.0,3.0,13.0,0.0,0.0,0.0,3.0,100.0,0.0,0.0,0.0,66740.0,18628.0,43100.0,18540.0,N,N,low_risk
7000.0,0.17739999999999997,252.16,RENT,20000.0,Not Verified,n,23.23,0.0,0.0,24.0,0.0,7467.0,33.0,w,3537.97,3537.97,5036.3,5036.3,3462.03,1574.27,0.0,0.0,0.0,252.16,0.0,1.0,Individual,0.0,0.0,99260.0,0.0,14.0,0.0,0.0,31.0,91793.0,110.0,2.0,5.0,4083.0,94.0,22300.0,0.0,0.0,0.0,5.0,4136.0,6682.0,49.8,0.0,0.0,148.0,131.0,11.0,11.0,0.0,11.0,18.0,1.0,3.0,4.0,5.0,8.0,14.0,10.0,19.0,4.0,24.0,0.0,0.0,0.0,2.0,90.9,20.0,0.0,0.0,105625.0,99260.0,13300.0,83325.0,N,N,low_risk
18000.0,0.1308,410.3,MORTGAGE,100000.0,Source Verified,n,12.73,0.0,1.0,10.0,0.0,20626.0,13.0,w,13240.01,13240.01,8173.3,8173.3,4759.99,3413.31,0.0,0.0,0.0,410.3,0.0,1.0,Individual,0.0,0.0,35668.0,1.0,1.0,0.0,0.0,28.0,15042.0,64.0,4.0,5.0,8524.0,61.0,34800.0,2.0,0.0,3.0,5.0,3567.0,2287.0,89.1,0.0,0.0,71.0,206.0,3.0,3.0,0.0,3.0,3.0,0.0,4.0,9.0,4.0,5.0,2.0,9.0,11.0,9.0,10.0,0.0,0.0,0.0,4.0,100.0,75.0,0.0,0.0,58265.0,35668.0,20900.0,23465.0,N,N,low_risk
31900.0,0.14300000000000002,747.23,MORTGAGE,68000.0,Source Verified,n,31.17,0.0,1.0,17.0,0.0,7110.0,27.0,w,24687.1,24687.1,13399.45,13399.45,7212.9,6186.55,0.0,0.0,0.0,747.23,0.0,1.0,Individual,0.0,0.0,103920.0,1.0,2.0,1.0,3.0,6.0,40217.0,80.0,0.0,0.0,2907.0,32.0,99700.0,1.0,0.0,1.0,3.0,6113.0,80683.0,8.0,0.0,0.0,90.0,374.0,27.0,6.0,1.0,28.0,6.0,0.0,6.0,7.0,12.0,17.0,5.0,14.0,21.0,7.0,17.0,0.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,224748.0,47327.0,87700.0,50000.0,N,N,low_risk
21275.0,0.1308,484.95,RENT,50000.0,Not Verified,n,17.67,0.0,0.0,8.0,0.0,15613.0,15.0,w,16272.47,16272.47,8713.64,8713.64,5002.53,3711.11,0.0,0.0,0.0,484.95,0.0,1.0,Individual,0.0,0.0,19779.0,0.0,1.0,0.0,1.0,22.0,4166.0,46.0,0.0,0.0,9998.0,56.0,26600.0,1.0,2.0,0.0,1.0,2472.0,10787.0,59.1,0.0,0.0,123.0,283.0,34.0,22.0,0.0,34.0,22.0,0.0,5.0,5.0,6.0,6.0,5.0,7.0,9.0,5.0,8.0,0.0,0.0,0.0,0.0,86.7,33.3,0.0,0.0,35600.0,19779.0,26400.0,9000.0,N,N,low_risk
32000.0,0.11019999999999999,696.08,MORTGAGE,65000.0,Not Verified,n,33.09,0.0,0.0,7.0,0.0,17131.0,9.0,w,23213.71,23213.71,13902.01,13902.01,8786.29,5115.72,0.0,0.0,0.0,696.08,0.0,1.0,Joint App,0.0,0.0,376053.0,1.0,3.0,1.0,1.0,9.0,42949.0,60.0,0.0,0.0,17131.0,54.0,81500.0,3.0,1.0,3.0,2.0,53722.0,64369.0,43.4,0.0,0.0,32.0,82.0,30.0,3.0,2.0,30.0,4.0,0.0,1.0,1.0,3.0,4.0,3.0,3.0,4.0,1.0,7.0,0.0,0.0,0.0,2.0,100.0,0.0,0.0,0.0,469808.0,60080.0,81500.0,71460.0,N,N,low_risk
30000.0,0.1033,642.3,MORTGAGE,65000.0,Not Verified,n,16.51,0.0,0.0,12.0,0.0,22247.0,34.0,w,21657.19,21657.19,12828.78,12828.78,8342.81,4485.97,0.0,0.0,0.0,642.3,0.0,1.0,Individual,0.0,0.0,122504.0,1.0,2.0,0.0,2.0,16.0,3814.0,29.0,2.0,3.0,16912.0,37.0,56900.0,1.0,0.0,2.0,5.0,11137.0,25493.0,41.0,0.0,0.0,141.0,161.0,1.0,1.0,1.0,9.0,7.0,0.0,2.0,6.0,5.0,12.0,11.0,9.0,22.0,6.0,12.0,0.0,0.0,0.0,2.0,100.0,0.0,0.0,0.0,187937.0,26061.0,43200.0,13211.0,N,N,low_risk
14000.0,0.14300000000000002,480.53,RENT,31200.0,Not Verified,n,39.62,0.0,1.0,27.0,0.0,14886.0,33.0,w,5552.13,5552.13,10799.48,10799.48,8447.87,2351.61,0.0,0.0,0.0,500.53,0.0,1.0,Individual,0.0,0.0,91493.0,0.0,16.0,0.0,4.0,17.0,76607.0,101.0,0.0,0.0,4953.0,83.0,33600.0,3.0,1.0,2.0,4.0,3389.0,4114.0,78.3,0.0,0.0,101.0,98.0,28.0,17.0,0.0,28.0,2.0,0.0,5.0,5.0,5.0,5.0,20.0,11.0,13.0,5.0,27.0,0.0,0.0,0.0,0.0,100.0,60.0,0.0,0.0,109663.0,91493.0,19000.0,76063.0,N,N,low_risk
40000.0,0.0646,1225.24,MORTGAGE,400000.0,Verified,n,7.48,1.0,0.0,15.0,0.0,36650.0,27.0,w,12733.63,12733.63,30025.61,30025.61,27266.37,2759.24,0.0,0.0,0.0,1225.24,0.0,1.0,Individual,0.0,0.0,1009354.0,0.0,3.0,1.0,2.0,7.0,68286.0,65.0,1.0,1.0,27802.0,33.0,186800.0,3.0,0.0,9.0,5.0,67290.0,101067.0,23.5,0.0,0.0,135.0,223.0,10.0,7.0,3.0,10.0,7.0,0.0,4.0,5.0,7.0,7.0,13.0,9.0,10.0,5.0,15.0,0.0,0.0,0.0,4.0,96.3,28.6,0.0,0.0,1264649.0,120194.0,132100.0,88123.0,N,N,low_risk
15950.0,0.1612,388.9,RENT,37500.0,Not Verified,n,10.46,0.0,0.0,9.0,0.0,1621.0,16.0,w,11973.43,11973.43,7763.72,7763.72,3976.57,3787.15,0.0,0.0,0.0,388.9,0.0,1.0,Individual,0.0,0.0,18266.0,0.0,6.0,0.0,0.0,89.0,16645.0,87.0,0.0,0.0,1420.0,29.0,45000.0,0.0,0.0,1.0,0.0,2030.0,43379.0,3.6,0.0,0.0,135.0,102.0,37.0,37.0,0.0,37.0,0.0,0.0,2.0,2.0,3.0,5.0,11.0,3.0,5.0,2.0,9.0,0.0,0.0,0.0,0.0,53.3,0.0,0.0,0.0,64189.0,18266.0,45000.0,19189.0,N,N,low_risk
7200.0,0.1033,233.45,MORTGAGE,80000.0,Source Verified,n,36.62,0.0,2.0,19.0,0.0,10615.0,30.0,w,3475.11,3475.11,4664.87,4664.87,3724.89,939.98,0.0,0.0,0.0,233.45,0.0,1.0,Individual,0.0,0.0,360108.0,2.0,7.0,3.0,3.0,4.0,106050.0,74.0,3.0,4.0,5313.0,42.0,54600.0,1.0,2.0,6.0,7.0,20006.0,36723.0,22.4,0.0,0.0,88.0,72.0,1.0,1.0,1.0,7.0,1.0,0.0,5.0,6.0,8.0,10.0,10.0,11.0,19.0,6.0,19.0,0.0,0.0,0.0,6.0,100.0,12.5,0.0,0.0,444508.0,116665.0,47300.0,128658.0,N,N,low_risk
4800.0,0.2305,185.94,MORTGAGE,128000.0,Not Verified,n,13.72,1.0,0.0,6.0,0.0,38015.0,12.0,w,0.0,0.0,5710.87,5710.87,4800.0,910.87,0.0,0.0,0.0,3863.76,0.0,1.0,Individual,0.0,0.0,235185.0,0.0,1.0,1.0,1.0,11.0,2242.0,37.0,1.0,1.0,19077.0,92.0,37800.0,0.0,0.0,1.0,2.0,39198.0,0.0,100.6,0.0,0.0,44.0,274.0,12.0,11.0,3.0,12.0,11.0,0.0,4.0,4.0,4.0,5.0,3.0,4.0,6.0,4.0,6.0,0.0,0.0,0.0,2.0,91.7,100.0,0.0,0.0,345800.0,40257.0,37800.0,6000.0,N,N,low_risk
14725.0,0.08810000000000001,466.96,MORTGAGE,85000.0,Not Verified,n,17.24,0.0,1.0,14.0,0.0,27182.0,22.0,w,8075.79,8075.79,8398.07,8398.07,6649.21,1748.86,0.0,0.0,0.0,466.96,0.0,1.0,Individual,0.0,0.0,108364.0,0.0,1.0,0.0,1.0,13.0,11694.0,69.0,0.0,2.0,7921.0,50.0,60300.0,2.0,0.0,2.0,3.0,8336.0,21018.0,53.0,0.0,0.0,144.0,132.0,17.0,13.0,1.0,21.0,1.0,0.0,6.0,10.0,8.0,10.0,6.0,12.0,15.0,10.0,14.0,0.0,0.0,0.0,0.0,100.0,28.6,0.0,0.0,164043.0,38876.0,44700.0,17000.0,N,N,low_risk
31900.0,0.08810000000000001,1011.6,RENT,100000.0,Not Verified,n,22.06,0.0,0.0,12.0,0.0,31244.0,15.0,w,0.0,0.0,34034.54,34034.54,31900.0,2134.54,0.0,0.0,0.0,24945.75,0.0,1.0,Individual,0.0,0.0,61416.0,2.0,3.0,0.0,2.0,21.0,30172.0,47.0,2.0,4.0,10900.0,48.0,65600.0,3.0,0.0,1.0,6.0,5118.0,32155.0,48.2,0.0,0.0,211.0,56.0,6.0,6.0,0.0,6.0,7.0,0.0,6.0,7.0,8.0,10.0,4.0,9.0,11.0,7.0,12.0,0.0,0.0,0.0,2.0,100.0,37.5,0.0,0.0,129384.0,61416.0,62100.0,63784.0,N,N,low_risk
10500.0,0.1524,251.12,RENT,67606.0,Source Verified,n,13.3,0.0,0.0,10.0,0.0,13580.0,12.0,w,7676.1,7676.1,5014.39,5014.39,2823.9,2190.49,0.0,0.0,0.0,251.12,0.0,1.0,Individual,0.0,0.0,25999.0,0.0,1.0,2.0,2.0,7.0,12419.0,89.0,2.0,4.0,3030.0,61.0,28600.0,1.0,1.0,2.0,6.0,2600.0,12614.0,42.7,0.0,0.0,9.0,44.0,11.0,7.0,0.0,11.0,9.0,0.0,5.0,9.0,5.0,5.0,2.0,9.0,10.0,9.0,10.0,0.0,0.0,0.0,4.0,100.0,20.0,0.0,0.0,42499.0,25999.0,22000.0,13899.0,N,N,low_risk
